DEXSTOP ENFANTS	0.1%	FL/125ML	SIR.
DEXTHERA	4MG/ML	BTE/05 AMP DE 1ML	SOL.INJ.IM.
DEXTOP 0.2%	0.2%	FL/125ML	SIR.
DI-ALGIC	30MG/400MG	B/20	GLES.
DI-CETALGIC	30MG/400MG	B/20	GLES.
DI-DOLEX	325MG/37.5MG	B/20	COMP.PELLI
DI-HYDAN	100MG	B/60	COMP.
DI-PARACETAL	30MG/400MGMG/MG	B/20	GLES.
DIABAMINE BGL	1G	BTE/30	COMP.PELLI
DIABAMINE BGL	500MG	BTE/50	COMP.PELLI
DIABAMINE BGL	850MG	BTE/100	COMP.PELLI
DIABEN	5MG	B/20	COMP.
DIABENIL	2.5MG	B/60	COMP.
DIABENIL	5MG	B/25	COMP.
DIABENIL	5MG	B/50	COMP.
DIABENIL	5MG	BTE/100	COMP.SEC.
DIABENIL	5MG	BTE/60	COMP.SEC.
DIABENORM	0.5MG	B/30	COMP.
DIABENORM	1MG	B/30	COMP.
DIABENORM	2MG	B/30	COMP.
DIABFORMINE	850MG	B/30	COMP.
DIABFORMINE	850MG	B/90	COMP.
DIABIREL	2MG	B/30	COMP.SEC.
DIABRESIDE	80MG	B/40	COMP.
DIABYL	850MG	B/30	COMP.
DIABYL	850MG	B/60	COMP.
DIACARBOSE	50MG	BTE/30	COMP.
DIACARE	10MG	BTE/16	PDR ORAL SA
DIACARE	30MG	BTE/30	PDR ORAL SA
DIACRO	2MG	B/20	GLES.
DIACTOSE	50MG	BTE/30	COMP.
DIAFURYL	100MG	B/12	GLES.
DIAFUSOR	10MG	B/30	PATCH
DIAGLAR	100UI/ML	BTE/01	SOL.INJ.SC.
DIAGLAR	100UI/ML	BTE/03	SOL.INJ.SC.
DIAGLAR	100UI/ML	BTE/05	SOL.INJ.SC.
DIAGLIBE	5MG	B/60	COMP.
DIAGLINIDE	0.5MG	BTE/30	COMP.
DIAGLINIDE	1MG	BTE/30	COMP.
DIAGLINIDE	2MG	BTE/30	COMP.
DIAGUANID	1000MG	BTE/30	COMP.PELLI.
DIAGUANID	850MG	B/120	COMP.PELLI
DIAGUANID	850MG	B/30	COMP.PELLI
DIAGUANID	850MG	BTE/90	COMP.PELLI
DIALAMOL	500MG	BTE/12	GLES.
DIALOMINE	2MG	BTE/30	COMP.SEC.
DIAMEPRID	1MG	B/30	COMP.SEC.
DIAMEPRID	2MG	B/30	COMP.SEC.
DIAMEPRID	3MG	B/30	COMP.SEC.
DIAMEPRID	4MG	B/30	COMP.SEC.
DIAMICRON	30MG	B/30	COMP A L.M
DIAMICRON	30MG	B/60	COMP.A.LIB.
DIAMICRON	60MG	BTE/30	COMP.SEC
DIAMICRON	80MG	B/60	COMP.
DIAMOX	250MG	B/24	COMP.
DIAMOX	500MG	B/25	SOL.INJ.
DIANE 35	2MG/35GMG/G	B/21	COMP.ENRO.
DIAPHAG	80MG	B/60	COMP.
DIAPHAGE	500MG	B/20	COMP.
DIAPID	50UI/ML	FL/12 ML	SOL.NASAL/S
DIAPRIDE 1	1MG	B/30	COMP.
DIAPRIDE 2	2MG	B/30	COMP.
DIAPRIDE 3	3MG	B/30	COMP.
DIAPRIDE 4	4MG	B/30	COMP.
DIARFAN	10MG	BTE/16 SACHETS	GRAN P/SUSP
DIARFAN	30MG	BTE/30 SACHETS	GRAN P/SUSP
DIARFIL	10MG	BTE/16	GRAN P/SUSP
DIARFIL	30MG	BTE/30	GRAN P/SUSP
DIARYL	2MG	B/20	GLES.
DIASSEL	2MG	B/20	GLES.
DIATAB	5MG	B/30	COMP.
DIATEX	2MG	B/20	COMP.
DIAVIC	30MG/400MG	B/20	GLES.
DIAZAL 10	10MG	B/30	COMP.
DIAZAL 5	5MG	B/30	COMP.
DIAZEM	120MG	B/30	GLES.
DIAZEM	180MG	B/30	GLES.
DIAZEM	60MG	B/30	COMP.
DIAZEM	90MG	B/30	GLES.
DIAZEPAM	1%	FL/20ML	SOL.BUV.GTT
DIAZEPAM	10MG/2ML	B/10 AMP DE 2ML	SOL.INJ.
DIAZEPAM-RATIOPHARM	10MG	B/30	COMP.
DIAZEPAM-RATIOPHARM	2MG	B/40	COMP.
DIAZEPAM-RATIOPHARM	5MG	B/40	COMP.
DIAZIDE	80MG	B/30	COMP.
DICEF	250MG/5MLMG/ML	FL/75 ML	SUSP.BUV.
DICEF	500MG	B/15	GLES.
DICEF	500MG	BTE/16	PDRE SUSP B
DICETEL	100MG	B/20	COMP.PELLI
DICETEL	50MG	B/20	COMP.PELLI
DICLAMID	5MG/ML(75MG/3ML)	BTE/2	SOL INJ.IM.
DICLO 25	25MG	B/10	SUPPO.
DICLOCED	1MG/ML(0.10%)	FL/10ML	COLLYRE.SOL
DICLOFAL	50MG	B/30	COMP.
DICLOFAL	50MG	BTE/30	COMP PELL G
DICLOFAL	75MG/3ML	B/2	SOL.INJ.
DICLOFAL LP	75MG	BTE/20	COMP.PELL.L
DICLOFAR	100MG	BTE/10	SUPPO.
DICLOFAR	25MG	BTE/10	SUPPO.
DICLOFAR	50MG	BTE/10	SUPPO.
DICLOFAST	50MG	BTE/20	COMP.PELLI
DICLOFEN	1%	T/50 G	GEL
DICLOFEN	50MG	B/20	COMP.
DICLOFENAC	100MG	B/10	SUPPO.
DICLOFENAC	25MG	B/10	SUPPO.
DICLOFENAC	25MG	B/20	COMP.
DICLOFENAC	25MG	B/30	COMP.
DICLOFENAC	50MG	B/20	COMP.
DICLOFENAC	50MG	B/30	COMP.
DICLOFENAC	75MG	B/100 AMP	SOL.INJ.
DICLOFENAC DBF	100MG	BTE/10	SUPPO.
DICLOFENAC LLORENS	100MG	B/10	SUPPO.
DICLOFENAC LLORENS	50MG	B/20	COMP.
DICLOFENAC NOVA GENERICS	1G/100G	TUBE/50G	GEL .P/APPL
DICLOFENAC NOVAGENERICS LP	100MG	BTE/20	GLES.LP.
DICLOFENAC STADA RETARD	100MG	B/20	COMP.LP.
DICLOFENAC TEDEC	100MG	B/10	SUPPO.
DICLOFENAC TEDEC	25MG	B/10	SUPPO.
DICLOFENACO RATIOPHARM	100MG	B/12	SUPPO.
DICLOFENACO RATIOPHARM	50MG	B/30	COMP.
DICLOFENIL	100MG	B/10	SUPPO.
DICLOFENIL	1G/100G(1%)G/G	T/30G	GEL.DERM.
DICLOFENIL ENFANT	25MG	B/10	SUPPO.
DICLOFLEX LP 75 MG	75MG	BTE/30	COMP.PELL.L
DICLOGESIC	0.1%	FL/5ML	COLLYRE.SOL
DICLOGESIC	1%	T/30 G	GEL
DICLOGESIC	100MG	B/5	SUPPO.
DICLOGESIC	12.5MG	B/10	SUPPO.
DICLOGESIC	25MG	B/20	COMP.
DICLOGESIC	50MG	B/20	COMP PELL G
DICLOGESIC	75MG	B/5 AMP	SOL.INJ.
DICLOGESIC RETARD	100MG	B/10	COMP.
DICLOMAX	100MG	B/15	COMP.
DICLOMAX	25MG	B/10	SUPPO.
DICLOMAX	25MG	B/30	COMP.
DICLOMAX	50MG	B/30	COMP.
DICLOMEC	1%	T/50 G	GEL
DICLOMEC	75MG/3ML	B/10 AMP	SOL.INJ.
DICLOMEC	75MG/3ML	B/2 AMP	SOL.INJ.
DICLOMEC	75MG/3ML	B/4 AMP	SOL.INJ.
DICLORENE LP 75	75MG	BTE/30	COMP.PELL.L
DICLOREUM	1%	T/50 G	GEL
DICLOREUM	100MG	B/10	COMP.
DICLOREUM	25MG	B/30	COMP.
DICLOREUM	50MG	B/20	COMP.
DICLOREUM	75MG	B/6 AMP	SOL.INJ.
DICLOTHERA	75MG/3ML	BTE/02 AMP DE 3ML	SOL INJ.IM.
DICYNONE	250MG	B/20	COMP.
DICYNONE	250MG	B/6 AMP DE 2 ML	SOL.INJ.
DIDERAL	40MG		COMP.
DIFAL	100MG	B/10	SUPPO.
DIFAL	25MG	B/10	SUPPO.
DIFAL	25MG	B/30	COMP.
DIFAL	50MG	B/30	COMP.
DIFEN 25	25MG	B/20	COMP.
DIFEN 50	50MG	B/20	COMP.
DIFFERINE	0.1%	T/30G	GEL.APPL.LO
DIFFUMAX	200MG	B/30	COMP.SEC.LP
DIFLORENE	50MG	B/20	COMP.
DIFLU G	50MG	B/3	GLES.
DIFLUCAN	50MG	B/3	GLES.
DIFLUCARE	150MG	BTE/01	GLES.
DIFLUCARE	50MG	BTE/03	GLES.
DIFLUG	50MG	B/3	GLES.
DIFRAREL 100	100MG/5MG	B/20	COMP.ENRO.
DIFRAREL E	50MG/50MG	B/24	COMP.ENRO.
DIGAOL	0.50%	FL/3 ML	COLLY.
DIGESTAT	100MG	B/10	SUPPO.
DIGESTAT	200MG	BTE/30	COMP.
DIGOXINE	0.5MG/2ML	B/5 AMP	SOL.INJ.
DIGOXINE CPCM	0.25MG	B/30	COMP.SEC.
DIGOXINE NATIVELLE	0.05MG/ML	FL/60 ML	SOL.BUV.
DIGOXINE NATIVELLE	0.25MG	B/30	COMP.
DIGOXINE STREULI	0.125MG	BTE/30	COMP.
DIGOXINE STREULI	0.25MG	B/30	COMP.
DIGROMIN	2MG/ML	FL/50 ML	SOL.BUV.
DIHYDROERGOTAMINE SANDOZ	2MG/ML	FL/50 ML	SOLUTE BUV.
DIHYDROERGOTAMINE-SANDOZ	1MG/ML	B/2 AMP	SOL.INJ.
DIHYDROGOTAMINE	1MG/ML	B/2 AMP	SOL.INJ.
DIHYDROGOTAMINE	2MG/ML	FL/50ML	SOL.BUV.
DILACARD	12.5MG	B/30	COMP.
DILACARD	25MG	BTE/30	COMP.
DILACARD	3.125MG	B/30	COMP.
DILACARD	6.25MG	BTE/30	COMP.
DILATRANE	10MG/ML	FL/200ML	SIR.
DILATREND	25MG	B/30	COMP.SEC.
DILATREND	6.25MG	B/30	COMP.SEC.
DILTIAZEM - BAYER	120MG	B/28	GLES.LP.
DILTIAZEM - BAYER	90MG	B/28	GLES.LP.
DILTIAZEM 60	60MG	B/20	COMP.
DILTIAZEM CHLORHYDRATE	60MG	B/30	COMP.
DILTIAZEM-BIOGARAN	60MG	B/30	COMP.
DILTIAZOR	90MG	B/20	GLES.LP.
DIMEPRA	2MG	B/20	COMP.
DIMEPRA	2MG	BTE/20	GLES.
DIMIPRIL	25MG	B/20	COMP.
DIMIPRIL	50MG	B/30	COMP.
DIMLOR	10MG	BTE/30	GLES.
DIMLOR	10MG	BTE/90	GLES.
DIMLOR	5MG	BTE/30	GLES.
DIMLOR	5MG	BTE/90	GLES.
DINALEXIN	20MG	BTE/14	GLES.
DINAZIP	10MG	BTE/28	COMP.PELLI.
DINAZIP	10MG	BTE/30	COMP.PELLI.
DIPICARD	10MG	BTE/30	GLES.
DIPICARD	5MG	BTE/30	GLES.
DIPRIM	200MG/40MG/5MLMG/ML	FL/100ML	SUSP.BUV.
DIPROLOL	10MG	BTE/30	COMP.PELLI.
DIPROLOL	5MG	BTE/30	COMP.PELLI.
DIPRONAD	7MG/ML(5MG/2MG/ML)	B1 SER P REMP 2.25ML	SUSP.INJ.IM
DIPROSALIC	0.05%/30%G/%	T/15 G	PDE.DERM.
DIPROSONE	0.05%	FL/15 G	LOTION
DIPROSONE	0.05%	T/15 G	CRE.
DIPROSONE	0.05%	T/15 G	PDE.DERM.
DIPROSTENE	5MG/2MG	1 SERINGUE PR REMPLI	SUSP.INJ.
DIPYRIDAMOLE	75MG	B/100	COMP.
DIRIL	50MG/5MG	B/30	COMP.PELLI
DISCOTRINE	10MG	B/30	PATCH
DISTENSOL	1MG	B/40	COMP.
DISTENSOL	2MG/ML	FL/15 ML	SOL.BUV.GTT
DISTENSOL	5MG	B/30	COMP.
DITAMIN	2MG/ML	FL/50 ML	SOLUTE BUV.
DIURAZOL	250MG	B/24	COMP.
DIURIMAT	2.5MG	B/30	COMP.
DIUSEMIDE	20MG	B/5 AMP DE 2ML	SOL.INJ.
DIUSEMIDE	40MG	B/30	COMP.
DIUZINE	50MG/5MG	B/20	COMP.
DIUZINE	50MG/5MG	B/30	COMP.
DIUZINE	50MG/5MG	B/60	COMP.
DIVALAN	160MG	BTE/28	COMP.PELLI
DIVALAN	80MG	BTE/28	COMP.PELLI
DIVALAN PLUS	160MG/12.5MG	BTE/30	COMP.PELLI
DIVIDO	75MG	B/20	CAPS LP
DIVIDO	75MG	BTE/20	GLE BOUBL
DIVINA	2MG/10MG	B/21	COMP.
DOCATRIL	10MG	BTE/16	PDR ORAL SA
DOCATRIL	30MG	BTE/30 SACHETS	PDR ORAL SA
DOFEBRIL	1000MG	BTE DE 1 TUBE DE 10	COMP.EFFER.
DOFEBRIL	500MG	B/2 TUBE DE 10	COMP.EFFER.
DOFEBRIL	500MG	B/20	COMP.SEC.
DOGMATIL	25MG/CACMG/100ML	FL/200 ML	SOL.BUV.
DOGMATIL	50MG	B/30	GLES.
DOLAN LP 75	75MG	BTE/30	GLES.LP.
DOLEX	50MG	BTE/30	GLES.
DOLI-BIEN	1000MG	BTE/08	COMP.
DOLI-BIEN	3%	FL/100 ML	SOL.BUV.
DOLI-BIEN	500MG	BTE/16	COMP.SEC.
DOLIBON	120MG/5ML	FL/100 ML	SUSP.BUV.
DOLICRANE 1000MG	1000MG	BTE/10	COMP.
DOLICRANE 500MG	500MG	BTE/20	COMP.
DOLIDOL FLASH	1000MG	BTE/8	COMP.EFFER.
DOLIPRANE	1000MG	BTE/8	COMP.
DOLIPRANE	100MG	B/10	SUPPO.
DOLIPRANE	100MG	B/12	SOL.BUV.SAC
DOLIPRANE	100MG	B/12	SUPPO.
DOLIPRANE	125MG	B/12	PDRE.OR.
DOLIPRANE	150MG	B/10	SUPPO.
DOLIPRANE	150MG	B/12	PDRE.SOL.BU
DOLIPRANE	150MG	B/12	SUPPO.
DOLIPRANE	170MG	B/10	SUPPO.
DOLIPRANE	170MG	B/10	SUPPO.ENF.
DOLIPRANE	200MG	B/10	SUPPO.
DOLIPRANE	200MG	B/12 SACHETS	PDRE.SOL.BU
DOLIPRANE	300MG	B/10	SUPPO.
DOLIPRANE	300MG	B/12	PDRE.SOL.BU
DOLIPRANE	300MG	BT/10	SUPPO.
DOLIPRANE	500MG	B/12	GLES.
DOLIPRANE	500MG	B/12 SACHETS	PERE.FLACON
DOLIPRANE	500MG	B/16	COMP.
DOLIPRANE	500MG	B/16	COMP.EFFER.
DOLIPRANE 2.4%	120MG/5ML	FL/125ML	SUSP.BUV.
DOLISED	200MG/400MG	BTE/20	COMP.SEC.
DOLMATOL	325MG/37.5MG	BTE/10	COMP.PELLI
DOLMATOL	325MG/37.5MG	BTE/20	COMP.PELLI
DOLOKIL	325MG/37.5MG	BTE/20	COMP.SEC.
DOLOMOL	120MG	B/10	SUPPO.
DOLOMOL	120MG	FL/100 ML	SOLUTE BUV.
DOLOMOL	250MG	BTE/6	SUPPO.
DOLOMOL	250MG/5MLMG/ML	F/120ML	SUSP.BUV.
DOLOMOL	500MG	B/30	COMP.
DOLORAZ	100MG/5MLMG/ML	FL/100ML	SUSP.BUV.
DOLOROL	500MG	B/20	COMP.
DOLPRIV	100MG	BTE/10	SUPPO.
DOLPRIV	150MG	BTE/10	SUPPO.
DOLPRIV	200MG	BTE/10	SUPPO.
DOLPRIV	3%	FL/100ML	SOL BUV PAD
DOLPRIV	300MG	BTE/10	SUPPO.
DOLPRIV	500MG	B/20	COMP.
DOLTRAM	100MG	BTE/30	COMP.ENRO.L
DOLTRAM	150MG	BTE/30	COMP.ENRO.L
DOLTRAM	200MG	BTE/30	COMP.ENRO.L
DOLTRAM	50MG	BTE/30	GLES.
DOLTRAM PLUS	325MG/37.5MG	BTE/20	COMP.PELLI
DOLYC	1000MG	BTE/08	COMP.
DOLYC	1000MG	BTE/10	COMP.
DOLYC	500MG	B/20	COMP.
DOLYMEX	100MG	BTE/10	SUPPO.
DOLYMEX	120MG/5ML	BTE/01 FL 125 ML	SOL.BUV.
DOLYMEX	200MG	BTE/10	SUPPO.
DOLYMEX	300MG	BTE/10	SUPPO.
DOMPERIDE	10MG	B/30	COMP.
DOMPERIDE	1MG/ML	FL/150 ML	SUSP.BUV.
DOMPERIDE	1MG/ML	FL/200ML	SUSP.BUV.
DOMPERIDONE	10MG	B/30	COMP.
DOMPERIDONE	1MG/ML	FL/150ML	SUSP.BUV.
DOMPERIDONE	1MG/ML	FL/180 ML	SUSP.BUV.
DOMPERIDONE ARROW	1MG/ML	FL/200ML	SUSP.BUV.
DOMPERIDONE BEKER	10MG	BTE/40	COMP.PELLI
DOMPERIDONE BGL	10MG	BTE/30	COMP ORO DI
DOMPERIDONE BGL	1MG/ML	FL/200ML	SUSP.BUV.
DOMPERIDONE LPA	1MG/1MLMG/ML	FL/200ML	SUSP.BUV.
DOMPERIDONE PHYSIOPHARM	1MG/ML	FL/200 ML	SUSP.BUV.
DOMPERIMEX	10MG	BTE/30	COMP.PELLI
DOMPERIMEX	1MG/ML	FL/200 ML	SUSP.BUV.
DOMPERONE	10MG	B/40	COMP.
DOMPERONE	1MG/ML	FL/200 ML	SUSP.BUV.
DONCEPT	10MG	BTE /30	COMP.PELLI
DONCEPT	5MG	BTE/30	COMP.PELLI
DONEPEZIL BEKER	10MG	BTE/28	COMP.PELLI
DONEPEZIL BEKER	10MG	BTE/30	COMP.PELLI
DONEPEZIL BEKER	5MG	BTE/30	COMP.PELLI
DONEURIME	1000G/ML		SOL.INJ.
DONEURINE	1000G/ML	B/10AMP	SOL.INJ.
DONEX	0.5MG	BTE/8	COMP.
DONICORT	64G/DOSE	120 DOSES	SUSP P/PULV
DONTOMYCINE	1.5MUIMUI	B/16	COMP.
DONTOMYCINE	3MUIMUI	B/10	COMP.
DOPAMET	250MG	B/30	COMP.
DOPAMET	250MG	BTE/30	COMP.PELLI
DOPANORE	250MG	B/30	COMP.
DOPEGYT	250MG	B/30	COMP.
DOPEGYT	500MG	B/30	COMP.
DOPEZIL	5MG	BTE/30	COMP.PELLI
DOPEZIL 10MG	10MG	B/30	COMP.PELLI
DOPREXOL	0.375MG	BTE/30	COMP.LP.
DOPREXOL	0.75MG	BTE/30	COMP.LP.
DOPREXOL	1.5MG	BTE/30	COMP.LP.
DOPRIN	10MG	B/20	COMP.
DOPRIN	1MG/ML	FL/100ML	SUSP.BUV.
DORAMINE	0.5MG/CAC	FL/125ML	SIR.
DORICEPT	10MG	BTE/30	COMP ORO DI
DORICEPT	5MG	BTE/30	COMP ORO DI
DORMAZINE	100MG	B/30	DRG.
DORMAZINE	4%	FL/30 ML	SOL.BUV.GTT
DORZAMED	2%(20MG/ML)	FL/5ML	COLLY.
DORZAMIDE	2%(20MG/ML)	FL/5ML	COLLY.
DORZASOPT	20MG/5MG/ML	FL/5ML	COLLYRE.SOL
DOSTINEX	0.5MG	BTE/08	COMP.
DOSTINOVA	0.5MG	BTE/08	COMP.
DOTAREM	0.5MM0L/ML	FL/15ML	SOL.INJ.IV.
DOTAREM	0.5MMOL/ML	FL/10 ML	SOL.INJ.
DOTAREM	0.5MMOL/ML	FL/20ML	SOL.INJ.
DOTUR	100MG	B/10	COMP.SEC.
DOTUR	100MG	B/10	GLES.
DOUCE PLUS	27G/20G	T/40 G	PDE.
DOXACARD	2MG	BTE/20	COMP.SEC.
DOXALAR	1MG	BTE/30	COMP.
DOXALAR	2MG	BTE/30	COMP.
DOXALAR LP	4MG	BTE/30	COMP.LP.
DOXAMEX LP	4MG	BTE/20	COMP.LP.
DOXAZOSINE BEKER	2MG	BTE/30	COMP.SEC.
DOXAZOSINE BEKER	4MG	BTE/30	COMP.
DOXINATE	100MG	B/10	GLES.
DOXINE	2MG	B/20	COMP.
DOXYCYCLINE-RATIOPHARM	100MG	B/5	CAPS.
DOXYDAR	100MG	B/10	GLES.
DOXYL	100MG	B/10	GLES.
DOXYL	100MG	B/5	GLES.
DOXYLINE	100MG	B/6	GLES.
DOXYNUP	100MG	BTE/06	COMP.DISPER
DOXYTEC	100MG	B/20	COMP.
DOZAX	20MG	BTE/30	COMP.PELLI.
DOZYCEPT	10MG	BTE/28	COMP.PELLI
DOZYCEPT	5MG	BTE/28	COMP.PELLI
DQA DICLO 50	50MG	B/30	COMP.GASTRO
DQA DICLO LP 100	100MG	B/30	COMP.LP.
DQA DOMP	10MG	B/30	COMP.
DQA SPIRONO 100	100MG	B/30	COMP.PELLI
DQA SPIRONO 50	50MG	B/30	COMP.PELLI
DQA-FUROSEMIDE	40MG	B/30	COMP.
DROMAX	70MG	BTE/04	COMP.
DROXIFAL	1G	BTE/12	COMP.
DUDREX	50MG/5MG	B/30	COMP.SEC.
DULOX	30MG	BTE/30	MICGR GAST
DULOX	60MG	BTE/30	MICGR GAST
DUOFEM	50MG	BTE/30	GLES.
DUPHALAC	10G/15ML	B/20 SACHETS	SOL.BUV.
DUPHALAC	133G/200ML(66.50%)	FL/200 ML	SOL.BUV.
DUPHALOSE	10G/15ML	BT/20 SACHET DE 15ML	SOL.BUV.SAC
DUPHASTON	10MG	B/10	COMP.PELLI
DURRAX	25MG	BTE/30	COMP.PELLI.
DURRAX	2MG/ML	FL/100ML	SIR.
DUSPAMED	100MG	B/20	COMP.
DUSPATALIN	100MG	B/30	COMP.
DUSPATALIN	100MG	B/30	COMP.ENRO.
DUSPATALIN	200MG	B/30	GLES.
DUSPAVERINE	100MG	BTE/30	MICROGRAN E
DUSPAVERINE	200MG	BTE/30	MICROG LP E
DYAREX	2MG	B/20	GLES.
DYASPAGON	2MG	B/6	GLES.
DYCLOMAX	100MG	B/10	SUPPO.
DYCLOMAX	75MGMG/3ML	B/2	SOL.INJ.
DYDROGYN	10MG	BTE/10	COMP.PELLI
DYSENTYL	200MG	B/30	GLES.
EASYLACT	66.5G/100ML(66.5%)	B/01 FLACON DE 200ML	SOL.BUV.
EAU OXYGENE	10VOLUMES	FL/10ML	SOL.
EAU OXYGENEE OFFICINALE	10V	FL/1 L	SOL.
EBASTA	10MG	BTE/10	COMP ORO DI
EBASTA	10MG	BTE/30	COMP ORO DI
ECAZIDE	50MG/25MG	B/28	COMP.SEC.
ECAZIDE	50MG/25MG	BTE/30	COMP.SEC.
ECLARAN	10%	T/45 G	GEL
ECLARAN	5%	T/15 G	GEL
ECOCLAV	1G/125MG	BTE/12	PDR SUSP BU
ECOCLAV	1G/125MG	BTE/14	PDR SUSP BU
ECOCLAV	500MG/62.5MG	BTE/12	PDR SUSP BU
ECOCLAV	500MG/62.5MG	BTE/14	PDR SUSP BU
ECOGYNAN	150MG	BTE/03	OV.
ECOMI	1%	FL/30 ML	LAIT.DERM.
ECOMI	1%	T/30 G	CRE.
ECOMI	150MG	B/3	OV.
ECONAZ	1%	FL/30 G	SOL APPL LO
ECONAZ	1%	FL/30 ML	EMUL FLUID
ECONAZ	1%	TUBE/30G	CRE.
ECONAZOLE BR	1%	TUBE/30G	CRE.DERMIQU
ECONAZOLE LDM 1%	1%	TUBE/30 G	CRE.
ECONAZOLE NOVAGENERICS	1%	FL/30 ML	EMULSION FL
ECONAZYL	1%	FL/30 ML	LAIT.DERM.
ECONAZYL	1%	T/30G	CRE.
ECONAZYL 1% SOLUTION	1%	FL/30 GRAMMES	SOL APPL LO
ECOPIRIN	500MG	B/20	COMP.
ECOVAR	150MG	B/3	OV.
ECOVAR LP	150MG	BTE/01	OVULE LP
ECOVARYL	1%	FL/30G	SOL APPL LO
ECZECORT	0.127%	TUBE/30 GRAMME	CREME LIPOP
EDEMID	20MG/2ML	B/5 AMP	SOL.INJ.
EDEMID	40MG	B/15	COMP.
EDEX	10MG/1MLMG/ML	B/2 CART	PDRE SOLV P
EDEX	20MG/1MLMG/ML	B/2 CART	PDRE SOLV P
EFFERALGAN	150MG	B/10	SUPPO.
EFFERALGAN	150MG	B/12 SACHETS	SOL.BUV.
EFFERALGAN	3G/100ML	FL/90 ML	SOL.BUV.
EFFERALGAN	500MG	B/16	COMP.
EFFERALGAN	500MG	B/16	COMP.EFFER.
EFFERALGAN 1000 MG	1000MG	BTE/08	COMP.EFFER.
EFFERALGAN CODEINE	500MG/30MG	BTE/16	COMP.PELLI
EFFERALGAN PEDIATRIQUE	3%(3G/100ML)	BTE DE 01 FL/150 ML	SOL.BUV.
EFFERALGAN PEDIATRIQUE	3%(3G/100ML)	FL/90 ML	SOLUTE BUV.
EFFERALGAN PEDIATRIQUE	3G/100ML	FL/90 ML	SOL.BUV.
EFFEXOR LP	37.5MG	BTE/30	GLES.LP.
EFFICORT HYDROPHILE	0.127%	T/30G	CRE.
EFFICORT LIPOPHILE	0.127%	T/30G	CRE.
EFFIXENT	250MG	B/20	GLES.
EFFIXENT	500MG	B/10	GLES.
EFIRAP	50MG	BTE/20	COMP.PELLI
EGORIE	250MG	BTE/64	COMP.PELLI
ELERAX	25MG	BTE/30	COMP.PELLI
ELERAX	50MG	BTE/30	COMP.PELLI
ELIGARD	22.5MG	BTE/1	PDRSOLV P/S
ELIGARD	45MG	BTE/1	PDRSOLV P/S
ELISOR	20MG	BTE/28	COMP.SEC.
ELLEANE	20G/75G	BTE/21	COMP.ENRO.
EMADIS	80MG/125MG	B/2GL 80MG-1GL 125MG	GLES.
EMERIVA UNICORE	200MG	BTE/15	CAPSULE MOL
EMESET 4	4MG	B/10	COMP.
EMESET 8	8MG	B/10	COMP.
EMETIKAN 10	10MG	BTE/30	COMP.PELLI
EMIDIUM HUP	10MG	BTE/30	COMP.
EMOX	250MG/5ML	FL/60 ML	PDRE.OR.
ENALAPRIL	20MG	B/20	COMP.SEC.
ENALAPRIL	20MG	B/28	COMP.
ENALAPRIL IBERAL	20MG	BTE/28	COMP.SEC.
ENALAPRIL IBERAL	5MG	BTE/28	COMP.SEC.
ENALAPRIL MERCK 20	20MG	B/28	COMP.SEC.
ENALAPRIL MERCK 5	5MG	B/28	COMP.SEC.
ENALAPRIL MYLAN	20MG	BTE/28	COMP.SEC.
ENALAPRIL MYLAN	5MG	BTE/28	COMP.SEC.
ENALAPRIL RATIOPHARM	20MG	B/28	COMP.
ENALAPRIL RATIOPHARM	5MG	B/60	COMP.
ENALAPRIL/HYDROCHLOROTH IAZIDE MERCK	20MG/12.5MGMG/12.5MG	B/28	COMP.SEC.
ENALAPRIL/HYDROCHLOROTHIAZIDE IBERAL	20MG/12.5MG	BTE/28	COMP.SEC.
ENALAPRIL/HYDROCHLOROTHIAZIDE MYLAN	20MG/12.5MG	BTE/30	COMP.SEC.
ENANTONE LP 11.25MG	11.25MG/2MLMG/ML	B/1FL/PDR+AMP2ML+SER	MICROS.SOL.
ENANTONE LP 3.75MG	3.75MG/2MLBMG/ML	B/1FL/PDR+AMP2ML+SER	PDR/SOL/SUS
ENATEC-20	20MG	B/28	COMP.SEC.
ENATEC-5	5MG	B/30	COMP.SEC.
ENCOFLUIDE ADULTE	0.0125G/0.005	FL/180 ML	SOL.BUV.
ENCOFLUIDE ADULTE	0.125G/0.0005	FL/200 ML	SOLUTE BUV.
ENCORATE	200MG	B/100	COMP.
ENCORATE	200MG	B/40	COMP.
ENCORATE 500	500MG	B/100	COMP.
ENCORATE 500	500MG	B/40	COMP.
ENDRONAX	70MG	BTE/4	COMP.
ENERMAG	1.5G/10MLG/ML	B/20	SOL.BUV.AMP
ENERMAG	15%	FL/125 ML	SIROP 15%
ENTIZOL	500MG	B/10	COMP.GYNECO
EOSINE AQUEUSE	2%	FL/100ML	SOL.
EOSINE AQUEUSE - GIFRER	2%	FL/100ML	SOL.
EPHYNAL	100MG	B/20	COMP.
EPICROM	2%	FL/10 ML	COLLY.
EPIFENAC	75MGML/3ML	B/3 AMP	SOL.INJ.
EPIFENAC 25	25MG	B/30	COMP.
EPIFENAC 50	50MG	B/20	COMP.
EPIGENT	40MG	B/5	SOL.INJ.
EPIGENT 80	80MG/2MLMG/ML	B/1AMP/2ML	SOL.INJ.
EPILAN D	100MG	B/100	COMP.
EPILAT	20MG	B/20	COMP.LP.
